,state,county,congressional district,state_name,state_code,county_fips,GEO_display-label
0,01,001,02,Alabama,AL,01001,"Autauga County, Alabama"
1,01,003,01,Alabama,AL,01003,"Baldwin County, Alabama"
2,01,005,02,Alabama,AL,01005,"Barbour County, Alabama"
3,01,007,06,Alabama,AL,01007,"Bibb County, Alabama"
4,01,009,04,Alabama,AL,01009,"Blount County, Alabama"
5,01,009,06,Alabama,AL,01009,"Blount County, Alabama"
6,01,011,02,Alabama,AL,01011,"Bullock County, Alabama"
7,01,013,02,Alabama,AL,01013,"Butler County, Alabama"
8,01,015,03,Alabama,AL,01015,"Calhoun County, Alabama"
9,01,017,03,Alabama,AL,01017,"Chambers County, Alabama"
10,01,019,03,Alabama,AL,01019,"Cherokee County, Alabama"
11,01,019,04,Alabama,AL,01019,"Cherokee County, Alabama"
12,01,021,06,Alabama,AL,01021,"Chilton County, Alabama"
13,01,023,07,Alabama,AL,01023,"Choctaw County, Alabama"
14,01,025,01,Alabama,AL,01025,"Clarke County, Alabama"
15,01,025,07,Alabama,AL,01025,"Clarke County, Alabama"
16,01,027,03,Alabama,AL,01027,"Clay County, Alabama"
17,01,029,03,Alabama,AL,01029,"Cleburne County, Alabama"
18,01,031,02,Alabama,AL,01031,"Coffee County, Alabama"
19,01,033,04,Alabama,AL,01033,"Colbert County, Alabama"
20,01,035,02,Alabama,AL,01035,"Conecuh County, Alabama"
21,01,037,06,Alabama,AL,01037,"Coosa County, Alabama"
22,01,039,02,Alabama,AL,01039,"Covington County, Alabama"
23,01,041,02,Alabama,AL,01041,"Crenshaw County, Alabama"
24,01,043,04,Alabama,AL,01043,"Cullman County, Alabama"
25,01,045,02,Alabama,AL,01045,"Dale County, Alabama"
26,01,047,07,Alabama,AL,01047,"Dallas County, Alabama"
27,01,049,04,Alabama,AL,01049,"DeKalb County, Alabama"
28,01,051,02,Alabama,AL,01051,"Elmore County, Alabama"
29,01,053,01,Alabama,AL,01053,"Escambia County, Alabama"
30,01,055,04,Alabama,AL,01055,"Etowah County, Alabama"
31,01,057,04,Alabama,AL,01057,"Fayette County, Alabama"
32,01,059,04,Alabama,AL,01059,"Franklin County, Alabama"
33,01,061,02,Alabama,AL,01061,"Geneva County, Alabama"
34,01,063,07,Alabama,AL,01063,"Greene County, Alabama"
35,01,065,07,Alabama,AL,01065,"Hale County, Alabama"
36,01,067,02,Alabama,AL,01067,"Henry County, Alabama"
37,01,069,02,Alabama,AL,01069,"Houston County, Alabama"
38,01,071,04,Alabama,AL,01071,"Jackson County, Alabama"
39,01,071,05,Alabama,AL,01071,"Jackson County, Alabama"
40,01,073,06,Alabama,AL,01073,"Jefferson County, Alabama"
41,01,073,07,Alabama,AL,01073,"Jefferson County, Alabama"
42,01,075,04,Alabama,AL,01075,"Lamar County, Alabama"
43,01,077,05,Alabama,AL,01077,"Lauderdale County, Alabama"
44,01,079,04,Alabama,AL,01079,"Lawrence County, Alabama"
45,01,081,03,Alabama,AL,01081,"Lee County, Alabama"
46,01,083,05,Alabama,AL,01083,"Limestone County, Alabama"
47,01,085,07,Alabama,AL,01085,"Lowndes County, Alabama"
48,01,087,03,Alabama,AL,01087,"Macon County, Alabama"
49,01,089,05,Alabama,AL,01089,"Madison County, Alabama"
50,01,091,07,Alabama,AL,01091,"Marengo County, Alabama"
51,01,093,04,Alabama,AL,01093,"Marion County, Alabama"
52,01,095,04,Alabama,AL,01095,"Marshall County, Alabama"
53,01,097,01,Alabama,AL,01097,"Mobile County, Alabama"
54,01,099,01,Alabama,AL,01099,"Monroe County, Alabama"
55,01,101,02,Alabama,AL,01101,"Montgomery County, Alabama"
56,01,101,03,Alabama,AL,01101,"Montgomery County, Alabama"
57,01,101,07,Alabama,AL,01101,"Montgomery County, Alabama"
58,01,103,05,Alabama,AL,01103,"Morgan County, Alabama"
59,01,105,07,Alabama,AL,01105,"Perry County, Alabama"
60,01,107,07,Alabama,AL,01107,"Pickens County, Alabama"
