GEO.id,GEO.id2,GEO.display-label,est72015sex0_age999,est72015sex1_age999,est72015sex2_age999
Id,Id2,Geography,Population Estimates (as of July 1) - 2015 - Both Sexes; Total,Population Estimates (as of July 1) - 2015 - Male; Total,Population Estimates (as of July 1) - 2015 - Female; Total
0500000US72001,72001,"Adjuntas Municipio, Puerto Rico",18579,9053,9526
0500000US72003,72003,"Aguada Municipio, Puerto Rico",39530,19337,20193
0500000US72005,72005,"Aguadilla Municipio, Puerto Rico",55804,27171,28633
0500000US72007,72007,"Aguas Buenas Municipio, Puerto Rico",26915,13072,13843
0500000US72009,72009,"Aibonito Municipio, Puerto Rico",24040,11560,12480
0500000US72011,72011,"Añasco Municipio, Puerto Rico",27989,13553,14436
0500000US72013,72013,"Arecibo Municipio, Puerto Rico",89648,43041,46607
0500000US72015,72015,"Arroyo Municipio, Puerto Rico",18546,8600,9946
0500000US72017,72017,"Barceloneta Municipio, Puerto Rico",24650,11730,12920
0500000US72019,72019,"Barranquitas Municipio, Puerto Rico",29323,14452,14871
0500000US72021,72021,"Bayamón Municipio, Puerto Rico",189159,89672,99487
0500000US72023,72023,"Cabo Rojo Municipio, Puerto Rico",49762,23589,26173
0500000US72025,72025,"Caguas Municipio, Puerto Rico",134481,62711,71770
0500000US72027,72027,"Camuy Municipio, Puerto Rico",32995,15808,17187
0500000US72029,72029,"Canóvanas Municipio, Puerto Rico",46972,22674,24298
0500000US72031,72031,"Carolina Municipio, Puerto Rico",161884,74289,87595
0500000US72033,72033,"Cataño Municipio, Puerto Rico",25641,12146,13495
0500000US72035,72035,"Cayey Municipio, Puerto Rico",45490,21841,23649
0500000US72037,72037,"Ceiba Municipio, Puerto Rico",12218,5729,6489
0500000US72039,72039,"Ciales Municipio, Puerto Rico",17349,8477,8872
0500000US72041,72041,"Cidra Municipio, Puerto Rico",41225,20024,21201
0500000US72043,72043,"Coamo Municipio, Puerto Rico",39862,19341,20521
0500000US72045,72045,"Comerío Municipio, Puerto Rico",19983,9941,10042
0500000US72047,72047,"Corozal Municipio, Puerto Rico",35037,17031,18006
0500000US72049,72049,"Culebra Municipio, Puerto Rico",1806,903,903
0500000US72051,72051,"Dorado Municipio, Puerto Rico",37878,18058,19820
0500000US72053,72053,"Fajardo Municipio, Puerto Rico",33102,15475,17627
0500000US72054,72054,"Florida Municipio, Puerto Rico",12188,5812,6376
0500000US72055,72055,"Guánica Municipio, Puerto Rico",17386,8371,9015
0500000US72057,72057,"Guayama Municipio, Puerto Rico",42721,21252,21469
0500000US72059,72059,"Guayanilla Municipio, Puerto Rico",19604,9382,10222
0500000US72061,72061,"Guaynabo Municipio, Puerto Rico",90879,42926,47953
0500000US72063,72063,"Gurabo Municipio, Puerto Rico",47265,22414,24851
0500000US72065,72065,"Hatillo Municipio, Puerto Rico",41047,19721,21326
0500000US72067,72067,"Hormigueros Municipio, Puerto Rico",16478,7605,8873
0500000US72069,72069,"Humacao Municipio, Puerto Rico",54827,25939,28888
0500000US72071,72071,"Isabela Municipio, Puerto Rico",43398,21108,22290
0500000US72073,72073,"Jayuya Municipio, Puerto Rico",15328,7605,7723
0500000US72075,72075,"Juana Díaz Municipio, Puerto Rico",48060,22951,25109
0500000US72077,72077,"Juncos Municipio, Puerto Rico",39754,18948,20806
0500000US72079,72079,"Lajas Municipio, Puerto Rico",23935,11641,12294
0500000US72081,72081,"Lares Municipio, Puerto Rico",27372,13491,13881
0500000US72083,72083,"Las Marías Municipio, Puerto Rico",8881,4393,4488
