State Postal,County Name,FIPS,Obama vote,% Obama,Romney vote,% Romney
AK,Alaska,00000,"91,696",42,"121,234",55
AK,Alaska,02000,"91,696",42,"121,234",55
AL,Alabama,00000,"793,620",38,"1,252,453",61
AL,Autauga,01001,"6,354",27,"17,366",73
AL,Baldwin,01003,"18,329",22,"65,772",77
AL,Barbour,01005,"5,873",51,"5,539",48
AL,Bibb,01007,"2,200",26,"6,131",73
AL,Blount,01009,"2,961",12,"20,741",87
AL,Bullock,01011,"4,058",76,"1,250",24
AL,Butler,01013,"4,367",46,"5,081",54
AL,Calhoun,01015,"15,500",34,"30,272",66
AL,Chambers,01017,"6,853",47,"7,596",52
AL,Cherokee,01019,"2,126",22,"7,494",77
AL,Chilton,01021,"3,391",20,"13,910",80
AL,Choctaw,01023,"3,785",48,"4,150",52
AL,Clarke,01025,"6,317",46,"7,463",54
AL,Clay,01027,"1,770",27,"4,802",72
AL,Cleburne,01029,971,15,"5,269",84
AL,Coffee,01031,"4,899",25,"14,638",74
AL,Colbert,01033,"9,160",39,"13,931",60
AL,Conecuh,01035,"3,551",51,"3,434",49
AL,Coosa,01037,"2,188",42,"3,028",58
AL,Covington,01039,"3,155",21,"12,148",79
AL,Crenshaw,01041,"2,048",32,"4,326",68
AL,Cullman,01043,"4,855",15,"27,930",84
AL,Dale,01045,"5,283",29,"13,105",71
AL,Dallas,01047,"14,599",70,"6,284",30
AL,DeKalb,01049,"5,235",22,"18,316",77
AL,Elmore,01051,"8,940",25,"26,223",74
AL,Escambia,01053,"5,476",37,"9,263",63
AL,Etowah,01055,"12,792",30,"29,102",69
AL,Fayette,01057,"1,803",23,"6,034",76
AL,Franklin,01059,"3,171",29,"7,567",70
AL,Geneva,01061,"2,039",18,"9,173",81
AL,Greene,01063,"4,514",85,799,15
AL,Hale,01065,"5,401",63,"3,205",37
AL,Henry,01067,"3,046",35,"5,605",64
AL,Houston,01069,"12,348",30,"29,214",70
AL,Jackson,01071,"5,817",28,"14,422",70
AL,Jefferson,01073,"159,658",53,"141,413",47
AL,Lamar,01075,"1,643",23,"5,453",76
AL,Lauderdale,01077,"12,504",34,"23,902",65
