FIPS,name,population_2015,DI_2000,DI_2015,DI_ratio
27145,"Stearns County, Minnesota",154708,0.09234884772339493,0.2084300957842546,2.256986426171212
48107,"Crosby County, Texas",5977,0.551654208316055,0.5559626315595633,1.0078100070271554
30069,"Petroleum County, Montana",475,0.03203469259285154,0.05371745152354575,1.6768524114238779
29175,"Randolph County, Missouri",25104,0.18418422700169737,0.19987456652972307,1.0851882910032307
39063,"Hancock County, Ohio",75573,0.11946417757737311,0.190328067459843,1.59318108004865
22035,"East Carroll Parish, Louisiana",7307,0.4495736056768024,0.457801605295525,1.0183017853246432
45075,"Orangeburg County, South Carolina",89208,0.49084538791488885,0.4997471274360755,1.0181355264618075
18127,"Porter County, Indiana",167688,0.14354179428261338,0.2870943362161437,2.000074874714857
17033,"Crawford County, Illinois",19414,0.1400219699972225,0.16551317277971575,1.1820514508044624
01003,"Baldwin County, Alabama",203709,0.24490129069193503,0.2982606151044428,1.2178809440397325
39013,"Belmont County, Ohio",69154,0.09853890617025925,0.1329658732369738,1.3493743578524235
12065,"Jefferson County, Florida",14081,0.5108073172635952,0.5271749164532334,1.0320426090944033
27101,"Murray County, Minnesota",8413,0.049842467675953274,0.11937886074343369,2.3951234019865466
18087,"LaGrange County, Indiana",38809,0.0805426051438493,0.10951621516033315,1.3597302317790307
30095,"Stillwater County, Montana",9486,0.07322538192830877,0.12116898719533513,1.654740255420798
36053,"Madison County, New York",71849,0.078007753320391,0.12728747635497498,1.6317285261656471
31121,"Merrick County, Nebraska",7787,0.05244331571582537,0.13845319072505788,2.6400541009896146
38061,"Mountrail County, North Dakota",10331,0.4466151484514063,0.5139503180175473,1.1507677690728113
36097,"Schuyler County, New York",18186,0.07886203872491876,0.09031803369322085,1.1452662796134667
21095,"Harlan County, Kentucky",27703,0.0927871278513441,0.0963239533448502,1.0381176309193718
48263,"Kent County, Texas",764,0.17884416671830802,0.36481149880594904,2.03982889405922
54063,"Monroe County, West Virginia",13506,0.04983571858210715,0.06545168131524852,1.3133488023738074
20129,"Morton County, Kansas",3007,0.2955972014038372,0.43211821369302356,1.461848121838863
21125,"Laurel County, Kentucky",60094,0.053090452425082146,0.07797919401235137,1.468798822582848
47169,"Trousdale County, Tennessee",8042,0.24263314073385292,0.2599815503920571,1.0715005773973552
18027,"Daviess County, Indiana",32906,0.06465152150015688,0.1432778389422459,2.216155716333733
22127,"Winn Parish, Louisiana",14568,0.4642887806876034,0.4817829406170751,1.0376794802225529
42005,"Armstrong County, Pennsylvania",67052,0.036538187809053976,0.05399389219118641,1.4777386462994477
13271,"Telfair County, Georgia",16400,0.5002238393919741,0.6042111531951105,1.2078815634407465
17159,"Richland County, Illinois",16029,0.043091762409711125,0.08414763601457628,1.9527545709203307
01023,"Choctaw County, Alabama",13170,0.504128335576519,0.5039667761161858,0.9996795271185293
55021,"Columbia County, Wisconsin",56743,0.07044770271737362,0.12821028209625882,1.81993559975434
31009,"Blaine County, Nebraska",487,0.02381365681148833,0.03246630040182329,1.3633479586453392
08117,"Summit County, Colorado",30257,0.2260282524146181,0.3098196403537085,1.3707120107507025
02068,"Denali Borough, Alaska",1919,0.2666548216934519,0.31216779608853495,1.170681235411543
37081,"Guilford County, North Carolina",517600,0.5135952063185562,0.6065657118201954,1.181019028911992
19137,"Montgomery County, Iowa",10234,0.04638952367296837,0.10896432230797266,2.348899356590446
29201,"Scott County, Missouri",39008,0.22786974575007216,0.2841535859584596,1.2470000570857687
29229,"Wright County, Missouri",18268,0.05481602135038873,0.0948628575867492,1.7305680939588381
38079,"Rolette County, North Dakota",14649,0.40265923916377844,0.37481900773388277,0.930859077050578
21199,"Pulaski County, Kentucky",63782,0.059774577433798104,0.10280473104096187,1.7198738235300914
38019,"Cavalier County, North Dakota",3828,0.040267148317284784,0.08147307445854156,2.023313739939439
54077,"Preston County, West Virginia",33940,0.031456746946797995,0.06870700861614146,2.184173993971592
