"fips","region","abb","polyname","work.own","intel.own","trust.own","work.oth","intel.oth","trust.oth","age","educ","hhinc","race","wave.race","prim.08","clinton.therm","obama.therm","vote.08","gen.08","gen.04","party.id","ideol","wt.345","female","obama.vote.gen","obama.vote.prim","obama.kerry.dum","obama.kerry.dum2","obama.kerry.3","kerry.no.08","oc.therm.dum","oc.therm.lin"
17,2,"IL","illinois",10,10,17.5,15,15,22.5,73,5,8,2,5,7,70,80,1,2,1,1,4,1.2,0,1,1,0,0,0,0,1,10
26,2,"MI","michigan",17.5,20,22.5,22.5,25,22.5,68,3,6,1,5,NA,10,25,NA,NA,2,7,4,NA,1,NA,NA,0,NA,0,NA,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50,95,NA,NA,1,2,6,NA,NA,NA,1,NA,NA,0,NA,1,45
55,2,"WI","wisconsin",65,75,75,50,50,50,44,3,12,1,5,NA,100,0,0,NA,NA,4,NA,3.25,0,NA,NA,NA,NA,0,NA,0,-100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,NA,NA,3,6,5,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,75,90,1,2,1,2,4,0.53,NA,1,1,0,0,0,0,1,15
1,3,"AL","alabama",30,30,27.5,37.5,37.5,37.5,56,4,9,1,5,NA,20,50,1,1,2,7,6,1.69,0,0,NA,0,NA,0,NA,1,30
6,4,"CA","california",32.5,32.5,30,30,30,27.5,48,4,6,1,5,7,75,55,1,2,1,2,3,1.32,0,1,1,0,0,0,0,0,-20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,30,NA,NA,2,5,4,NA,NA,NA,NA,0,NA,0,NA,0,-10
20,2,"KS","kansas",24.5,24.5,24.5,93,93,94,52,4,9,1,5,NA,40,0,1,2,NA,5,4,0.28,1,1,NA,0,NA,0,NA,0,-40
18,2,"IN","indiana",35,42.5,70,37.5,50,67.5,40,4,2,1,5,4,60,55,0,NA,NA,2,3,1.22,0,NA,0,NA,NA,0,NA,0,-5
55,2,"WI","wisconsin",8.33333333333333,10,8.33333333333333,18.3333333333333,13.3333333333333,11.6666666666667,79,3,7,1,5,2,80,75,1,2,1,2,6,8.18,1,1,0,0,0,0,0,0,-5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,NA,NA,NA,1,3,2,NA,NA,NA,0,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,50,1,2,2,5,4,0.58,NA,1,NA,0,NA,-1,NA,1,10
12,3,"FL","florida",50,49.5,49,56,43.5,43,81,1,15,1,5,NA,0,0,NA,NA,2,6,5,4.16,0,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,70,NA,NA,1,6,4,NA,NA,NA,NA,NA,NA,0,NA,1,5
34,1,"NJ","new jersey",50,52.5,52.5,52.5,72.5,72.5,79,3,12,1,5,7,35,60,0,NA,NA,2,4,2.9,0,NA,1,NA,NA,0,NA,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,40,NA,NA,2,5,5,NA,NA,NA,0,0,NA,0,NA,0,-10
6,4,"CA","california",50,50,49,49,49,49,46,6,15,1,5,NA,10,5,NA,NA,2,6,4,NA,1,NA,NA,0,NA,0,NA,0,-5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,85,NA,NA,2,7,4,NA,NA,NA,NA,0,NA,0,NA,1,70
6,4,"CA","california",30,35,35,35,35,35,72,7,17,1,5,7,75,100,NA,NA,1,3,2,NA,1,NA,1,NA,NA,0,NA,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,0,NA,0,0
6,4,"CA","california",30.5,31,43,50.5,37.5,49,62,3,13,1,5,NA,2,0,1,1,2,7,5,0.64,0,0,NA,0,NA,0,NA,0,-2
29,2,"MO","missouri",13.3333333333333,13.3333333333333,11.6666666666667,15,15,13.3333333333333,64,4,10,4,5,2,35,40,1,2,1,1,5,2.26,1,1,0,0,0,0,0,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,2,2,4,NA,NA,NA,0,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,50,NA,NA,NA,2,3,NA,NA,NA,0,NA,NA,0,NA,0,-15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,30,80,NA,NA,1,3,4,NA,NA,NA,1,NA,NA,0,NA,1,50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,NA,NA,2,7,6,NA,NA,NA,NA,0,NA,0,NA,1,55
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,26,NA,NA,2,7,6,NA,NA,NA,NA,0,NA,0,NA,0,-24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,75,NA,NA,1,2,6,NA,NA,NA,0,NA,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,90,50,NA,NA,1,1,4,NA,NA,NA,0,NA,NA,0,NA,0,-40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80,70,NA,NA,1,3,4,NA,NA,NA,0,NA,NA,0,NA,0,-10
41,4,"OR","oregon",45,50,50,45,47.5,45,29,3,13,1,5,NA,50,50,NA,NA,NA,4,4,7.04,0,NA,NA,NA,NA,0,NA,0,0
26,2,"MI","michigan",37,49,43,24.5,30.5,37,57,4,9,2,5,7,35,95,1,2,NA,1,4,0.34,0,1,1,0,NA,0,NA,1,60
8,4,"CO","colorado",50,50,45,45,45,45,45,5,5,4,5,2,75,50,NA,NA,NA,3,5,NA,0,NA,0,NA,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50,50,NA,NA,NA,3,4,NA,NA,NA,1,NA,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,0,NA,1,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,46,58,NA,NA,1,3,5,NA,NA,NA,0,NA,NA,0,NA,1,12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,0,NA,1,50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,NA,NA,1,5,4,NA,NA,NA,NA,NA,NA,0,NA,0,0
53,4,"WA","washington",25,25,24.5,24.5,25,25,60,8,12,1,5,7,60,80,1,2,1,1,2,0.21,1,1,1,0,0,0,0,1,20
13,3,"GA","georgia",41.6666666666667,48.3333333333333,40,45,50,50,66,3,10,1,5,2,80,5,1,NA,1,1,4,4.38,0,NA,0,NA,NA,0,0,0,-75
47,3,"TN","tennessee",40,38,47,62,65,72.5,38,3,11,1,5,2,25,0,1,1,NA,7,2,1.32,1,0,0,NA,NA,0,NA,0,-25
6,4,"CA","california",50,52.6666666666667,49.3333333333333,49.6666666666667,53.3333333333333,49.3333333333333,53,6,16,1,5,NA,30,5,1,1,2,6,6,0.32,0,0,NA,0,NA,0,NA,0,-25
24,3,"MD","maryland",20,20,30,30,20,35,38,4,8,2,5,7,50,60,NA,NA,2,1,3,NA,0,NA,1,0,NA,0,NA,1,10
45,3,"SC","south carolina",17.5,40,17.5,25,35,30,71,2,12,1,5,NA,0,0,1,1,2,7,7,1.83,0,0,NA,0,NA,0,NA,0,0
22,3,"LA","louisiana",0,0,0,0,0,0,61,7,9,1,5,2,50,50,1,2,1,2,3,1.22,1,1,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75,30,NA,NA,NA,4,2,NA,NA,NA,0,NA,NA,0,NA,0,-45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,30,NA,NA,2,6,5,NA,NA,NA,NA,0,NA,0,NA,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,95,75,NA,NA,NA,5,6,NA,NA,NA,0,NA,NA,0,NA,0,-20
42,1,"PA","pennsylvania",45,55,55,45,55,55,77,7,6,1,5,NA,60,50,NA,NA,2,7,4,NA,1,NA,NA,0,NA,0,NA,0,-10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,75,50,NA,NA,1,1,1,NA,NA,NA,0,NA,NA,0,NA,0,-25
48,3,"TX","texas",31,31,30.5,31,31,31.5,49,7,10,1,5,NA,50,1,1,1,2,5,4,0.45,0,0,NA,0,NA,0,NA,0,-49
55,2,"WI","wisconsin",27.5,30,27.5,35,32.5,27.5,69,6,14,1,5,NA,25,20,1,1,2,6,6,0.78,1,0,NA,0,NA,0,NA,0,-5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
13,3,"GA","georgia",25,30.5,25,43,43,31.5,66,3,11,1,5,NA,0,NA,1,1,2,6,6,0.65,1,0,NA,0,NA,0,NA,NA,NA
42,1,"PA","pennsylvania",7.5,7.5,15,12.5,57.5,17.5,84,4,12,1,5,2,80,NA,1,2,1,1,2,0.35,0,1,0,0,0,0,0,NA,NA
47,3,"TN","tennessee",12.5,12.5,32.5,20,20,17.5,41,5,3,1,5,2,100,75,1,2,NA,1,3,1.77,0,1,0,0,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,100,100,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,0,NA,0,0
6,4,"CA","california",40,50,50,65,70,70,65,3,9,1,5,2,50,50,1,1,1,3,6,1.59,1,0,0,1,1,1,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,50,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,0,NA,1,30
6,4,"CA","california",10,32.5,47.5,90,77.5,87.5,67,4,13,4,5,7,60,75,1,2,2,1,6,2.41,0,1,1,0,NA,-1,NA,1,15
54,3,"WV","west virginia",22.5,25,35,50,42.5,50,41,3,8,1,5,NA,30,50,1,1,NA,5,4,3.81,0,0,NA,NA,NA,0,NA,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,25,NA,NA,1,3,4,NA,NA,NA,0,NA,NA,0,NA,0,-75
9,1,"CT","connecticut",0,0,6,11.5,18,17,65,3,9,1,5,7,25,100,1,2,4,3,4,0.48,1,1,1,0,NA,0,NA,1,75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,5,6,NA,NA,NA,NA,0,NA,0,NA,0,0
41,4,"OR","oregon",35,70,60,80,55,100,67,4,1,4,5,NA,25,0,NA,NA,2,7,6,NA,1,NA,NA,0,NA,0,NA,0,-25
47,3,"TN","tennessee",31,37,36.5,43.5,49.5,49.5,48,3,15,1,5,NA,40,40,1,NA,2,6,2,NA,0,NA,NA,0,NA,0,NA,0,0
26,2,"MI","michigan",20,22.5,17.5,50,55,55,50,3,15,1,5,2,75,50,1,2,1,1,1,1.43,0,1,0,0,0,0,0,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,44,40,NA,NA,1,1,4,NA,NA,NA,0,NA,NA,0,NA,0,-4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,25,NA,NA,2,7,6,NA,NA,NA,NA,0,NA,0,NA,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA,NA,2,5,5,NA,NA,NA,NA,0,NA,0,NA,0,-10
25,1,"MA","massachusetts",25,28.3333333333333,35,53.3333333333333,56.6666666666667,60,84,3,10,1,5,2,75,30,1,NA,1,2,4,5.05,1,NA,0,NA,NA,0,0,0,-45
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,40,NA,NA,NA,1,3,4,NA,NA,NA,0,NA,NA,0,NA,NA,NA
27,2,"MN","minnesota",24.6666666666667,26,28.3333333333333,36.3333333333333,38.6666666666667,36.6666666666667,38,6,16,1,5,7,80,100,1,2,1,1,2,0.41,0,1,1,0,0,0,0,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,NA,NA,2,6,6,NA,NA,NA,NA,0,NA,0,NA,1,30
12,3,"FL","florida",55,10,5,20,20,20,66,6,11,1,5,7,50,80,1,2,1,1,2,1.39,1,1,1,0,0,0,0,1,30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,50,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,0,NA,0,-26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,2,6,5,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,2,NA,NA,2,6,4,NA,NA,NA,NA,0,NA,0,NA,0,-63
55,2,"WI","wisconsin",20,55,55,22.5,25,47.5,63,3,14,2,5,7,50,50,1,2,1,1,2,2.34,0,1,1,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,NA,NA,2,4,4,NA,NA,NA,NA,0,NA,0,NA,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,20,20,NA,NA,1,3,4,NA,NA,NA,0,NA,NA,0,NA,0,0
26,2,"MI","michigan",10,10,5,10,10,5,79,1,6,1,5,NA,0,25,NA,NA,2,5,4,NA,1,NA,NA,0,NA,0,NA,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,65,98,NA,NA,1,1,4,NA,NA,NA,1,NA,NA,0,NA,1,33
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,50,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,0,NA,1,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,40,NA,NA,2,7,3,NA,NA,NA,NA,0,NA,0,NA,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,30,NA,NA,NA,3,4,NA,NA,NA,0,NA,NA,0,NA,0,-20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50,60,NA,NA,1,2,4,NA,NA,NA,1,NA,NA,0,NA,1,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,70,NA,NA,2,5,5,NA,NA,NA,NA,0,NA,0,NA,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,37,NA,NA,2,6,6,NA,NA,NA,NA,0,NA,0,NA,1,7
48,3,"TX","texas",2.5,5,100,5,2.5,100,88,7,10,2,5,7,88,90,1,2,1,2,3,3.53,1,1,1,0,0,0,0,1,2
34,1,"NJ","new jersey",42.5,35,42.5,50,55,55,68,5,11,1,5,NA,50,NA,1,1,2,6,4,1.32,1,0,NA,0,NA,0,NA,NA,NA
