"zcta5","county02","county","cntyname2","zipname","pop09","afact"
"01001","25013"," ","Hampden MA","AGAWAM","17115.65","1 "
"01002","25011"," ","Franklin MA","CUSHMAN","567.923","0.015 "
"01002","25015"," ","Hampshire MA","CUSHMAN","37130.541","0.985 "
"01005","25027"," ","Worcester MA","BARRE","5433.543","1 "
"01007","25015"," ","Hampshire MA","BELCHERTOWN","13341.29","1 "
"01008","25013"," ","Hampden MA","BLANDFORD","1275.207","1 "
"01010","25013"," ","Hampden MA","BRIMFIELD","3456.998","1 "
"01011","25003"," ","Berkshire MA","CHESTER","430.152","0.205 "
"01011","25013"," ","Hampden MA","CHESTER","1242.165","0.592 "
"01011","25015"," ","Hampshire MA","CHESTER","427.389","0.204 "
"01012","25015"," ","Hampshire MA","CHESTERFIELD","536.029","1 "
"01013","25013"," ","Hampden MA","CHICOPEE","23901.608","1 "
"01020","25013"," ","Hampden MA","CHICOPEE","30123.791","1 "
"01022","25013"," ","Hampden MA","WESTOVER AFB","2406.888","1 "
"01026","25015"," ","Hampshire MA","CUMMINGTON","1056.685","1 "
"01027","25015"," ","Hampshire MA","MOUNT TOM","17924.7","1 "
"01028","25013"," ","Hampden MA","EAST LONGMEADOW","14597.245","1 "
"01029","25003"," ","Berkshire MA","EAST OTIS","547.989","1 "
"01030","25013"," ","Hampden MA","FEEDING HILLS","11944.609","1 "
"01031","25027"," ","Worcester MA","GILBERTVILLE","1351.697","1 "
"01032","25015"," ","Hampshire MA","GOSHEN","217.282","1 "
"01033","25013"," ","Hampden MA","GRANBY","38.205","0.006 "
"01033","25015"," ","Hampshire MA","GRANBY","6254.018","0.994 "
"01034","25013"," ","Hampden MA","TOLLAND","1988.703","1 "
"01035","25015"," ","Hampshire MA","HADLEY","4912.407","1 "
"01036","25013"," ","Hampden MA","HAMPDEN","5301.143","1 "
"01037","25027"," ","Worcester MA","HARDWICK","759.861","1 "
"01038","25015"," ","Hampshire MA","HATFIELD","2621.727","1 "
"01039","25015"," ","Hampshire MA","HAYDENVILLE","1156.102","1 "
"01040","25013"," ","Hampden MA","HOLYOKE","41134.97","1 "
"01050","25013"," ","Hampden MA","HUNTINGTON","108.418","0.044 "
"01050","25015"," ","Hampshire MA","HUNTINGTON","2356.275","0.956 "
"01053","25015"," ","Hampshire MA","LEEDS","1488.173","1 "
"01054","25011"," ","Franklin MA","LEVERETT","1448.905","1 "
"01056","25013"," ","Hampden MA","LUDLOW","21861.278","1 "
"01057","25013"," ","Hampden MA","MONSON","8525.816","1 "
"01060","25015"," ","Hampshire MA","FLORENCE","16679.431","1 "
"01062","25015"," ","Hampshire MA","01062","11504.646","1 "
"01068","25027"," ","Worcester MA","OAKHAM","1836.51","1 "
"01069","25013"," ","Hampden MA","PALMER","10205.784","1 "
"01070","25015"," ","Hampshire MA","PLAINFIELD","580.101","1 "
"01071","25013"," ","Hampden MA","RUSSELL","1707.848","1 "
"01072","25011"," ","Franklin MA","SHUTESBURY","1462.953","1 "
"01073","25015"," ","Hampshire MA","SOUTHAMPTON","5521.205","1 "
"01075","25015"," ","Hampshire MA","SOUTH HADLEY","17655.148","1 "
"01077","25013"," ","Hampden MA","SOUTHWICK","9122.633","1 "
"01080","25013"," ","Hampden MA","THREE RIVERS","2712.525","1 "
"01081","25013"," ","Hampden MA","WALES","1694.425","1 "
"01082","25015"," ","Hampshire MA","WARE","9948.829","0.973 "
"01082","25027"," ","Worcester MA","WARE","271.838","0.027 "
"01083","25027"," ","Worcester MA","WARREN","2445.469","1 "
"01084","25015"," ","Hampshire MA","WEST CHESTERFIEL","150.662","1 "
"01085","25013"," ","Hampden MA","MONTGOMERY","42054.977","1 "
"01088","25015"," ","Hampshire MA","W HATFIELD","627.247","1 "
"01089","25013"," ","Hampden MA","WEST SPRINGFIELD","28807.282","1 "
"01092","25027"," ","Worcester MA","WEST WARREN","1163.337","1 "
"01095","25013"," ","Hampden MA","WILBRAHAM","14094.391","1 "
"01096","25015"," ","Hampshire MA","WILLIAMSBURG","2688.346","1 "
"01098","25015"," ","Hampshire MA","WORTHINGTON","1265.767","1 "
"01103","25013"," ","Hampden MA","SPRINGFIELD","2747.632","1 "
"01104","25013"," ","Hampden MA","SPRINGFIELD","23111.703","1 "
"01105","25013"," ","Hampden MA","SPRINGFIELD","13565.722","1 "
"01106","25013"," ","Hampden MA","LONGMEADOW","16399.056","1 "
"01107","25013"," ","Hampden MA","SPRINGFIELD","11701.958","1 "
"01108","25013"," ","Hampden MA","SPRINGFIELD","26668.859","1 "
"01109","25013"," ","Hampden MA","SPRINGFIELD","31653.007","1 "
"01118","25013"," ","Hampden MA","SPRINGFIELD","14735.608","1 "
"01119","25013"," ","Hampden MA","SPRINGFIELD","13762.94","1 "
"01128","25013"," ","Hampden MA","SPRINGFIELD","3090.44","1 "
