"","polyname","fips","quart.1","quart.2","colorBuckets.1","colorBuckets.2"
"1","alabama,autauga",1001,0.193778003749722,0.487336744097366,"(0.1,0.2]","(0.4,0.5]"
"2","alabama,baldwin",1003,0.177653160180462,0.185748619133955,"(0.1,0.2]","(0.1,0.2]"
"3","alabama,barbour",1005,0.431862968015765,0.434793593047345,"(0.4,0.5]","(0.4,0.5]"
"4","alabama,bibb",1007,0.260059355373041,0.593208641038028,"(0.2,0.3]","(0.5,1.5]"
"5","alabama,blount",1009,0.149719276356831,0.345082137658557,"(0.1,0.2]","(0.3,0.4]"
"6","alabama,bullock",1011,0.312157413914266,0.312157413914266,"(0.3,0.4]","(0.3,0.4]"
"7","alabama,butler",1013,0.42547465988937,0.42547465988937,"(0.4,0.5]","(0.4,0.5]"
"8","alabama,calhoun",1015,0.216358630501508,0.522071899988144,"(0.2,0.3]","(0.5,1.5]"
"9","alabama,chambers",1017,0.437429396259571,0.43927032341743,"(0.4,0.5]","(0.4,0.5]"
"10","alabama,cherokee",1019,0.290268078396036,0.295280468574004,"(0.2,0.3]","(0.2,0.3]"
"11","alabama,chilton",1021,0.303508709688864,0.322737432149572,"(0.3,0.4]","(0.3,0.4]"
"12","alabama,choctaw",1023,0.435277236855591,0.435277236855591,"(0.4,0.5]","(0.4,0.5]"
"13","alabama,clarke",1025,0.412781374354102,0.412781374354102,"(0.4,0.5]","(0.4,0.5]"
"14","alabama,clay",1027,0.272221097388136,0.282344604170885,"(0.2,0.3]","(0.2,0.3]"
"15","alabama,cleburne",1029,0.334525228446564,0.339690107270561,"(0.3,0.4]","(0.3,0.4]"
"16","alabama,coffee",1031,0.180581598601621,0.184840298744637,"(0.1,0.2]","(0.1,0.2]"
"17","alabama,colbert",1033,0.225801337103295,0.23005575667891,"(0.2,0.3]","(0.2,0.3]"
"18","alabama,conecuh",1035,0.422189382744117,0.422189382744117,"(0.4,0.5]","(0.4,0.5]"
"19","alabama,coosa",1037,0.527777777777778,0.527777777777778,"(0.5,1.5]","(0.5,1.5]"
"20","alabama,covington",1039,0.247429204239836,0.250118652112008,"(0.2,0.3]","(0.2,0.3]"
"21","alabama,crenshaw",1041,0.264195163524022,0.453712581229359,"(0.2,0.3]","(0.4,0.5]"
"22","alabama,cullman",1043,0.0171534370405329,0.297671125955238,"[0,0.1]","(0.2,0.3]"
"23","alabama,dale",1045,0.169083675564682,0.32379363449692,"(0.1,0.2]","(0.3,0.4]"
"24","alabama,dallas",1047,0.260306985021504,0.337905976568293,"(0.2,0.3]","(0.3,0.4]"
"25","alabama,de kalb",1049,0.347948310052517,0.385974852361132,"(0.3,0.4]","(0.3,0.4]"
"26","alabama,elmore",1051,0.201123991540691,0.203043001488211,"(0.2,0.3]","(0.2,0.3]"
"27","alabama,escambia",1053,0.224749269525389,0.51476743267788,"(0.2,0.3]","(0.5,1.5]"
"28","alabama,etowah",1055,0.222506284886446,0.226312724587044,"(0.2,0.3]","(0.2,0.3]"
"29","alabama,fayette",1057,0.271215596330276,0.273181520314548,"(0.2,0.3]","(0.2,0.3]"
"30","alabama,franklin",1059,0.313008918185343,0.359053896859248,"(0.3,0.4]","(0.3,0.4]"
"31","alabama,geneva",1061,0.270728713313246,0.277591786630956,"(0.2,0.3]","(0.2,0.3]"
"32","alabama,greene",1063,0.229815745393635,0.229815745393635,"(0.2,0.3]","(0.2,0.3]"
"33","alabama,hale",1065,0.333593208593209,0.333853083853084,"(0.3,0.4]","(0.3,0.4]"
"34","alabama,henry",1067,0.22684224767746,0.518354829981059,"(0.2,0.3]","(0.5,1.5]"
"35","alabama,houston",1069,0.173936498150432,0.441723181257708,"(0.1,0.2]","(0.4,0.5]"
"36","alabama,jackson",1071,0.300598313842807,0.305221648082676,"(0.3,0.4]","(0.3,0.4]"
"37","alabama,jefferson",1073,0.310492112750657,0.310492112750657,"(0.3,0.4]","(0.3,0.4]"
"38","alabama,lamar",1075,0.293262620310352,0.298075034374386,"(0.2,0.3]","(0.2,0.3]"
"39","alabama,lauderdale",1077,0.224135677406706,0.229184367034834,"(0.2,0.3]","(0.2,0.3]"
"40","alabama,lawrence",1079,0.261008048895968,0.263934920156674,"(0.2,0.3]","(0.2,0.3]"
"41","alabama,lee",1081,0.164780312264206,0.392158569853155,"(0.1,0.2]","(0.3,0.4]"
"42","alabama,limestone",1083,0.240740740740741,0.252129134482076,"(0.2,0.3]","(0.2,0.3]"
"43","alabama,lowndes",1085,0.284402531331431,0.284402531331431,"(0.2,0.3]","(0.2,0.3]"
"44","alabama,macon",1087,0.179071597167584,0.179071597167584,"(0.1,0.2]","(0.1,0.2]"
"45","alabama,madison",1089,0.13749012422872,0.140044495499556,"(0.1,0.2]","(0.1,0.2]"
"46","alabama,marengo",1091,0.32274515517995,0.32274515517995,"(0.3,0.4]","(0.3,0.4]"
"47","alabama,marion",1093,0.303205035798376,0.309115371678439,"(0.3,0.4]","(0.3,0.4]"
"48","alabama,marshall",1095,0.167051485284996,0.32543593631539,"(0.1,0.2]","(0.3,0.4]"
"49","alabama,mobile",1097,0.185500090369669,0.427113977303753,"(0.1,0.2]","(0.4,0.5]"
"50","alabama,monroe",1099,0.398736728934283,0.398736728934283,"(0.3,0.4]","(0.3,0.4]"
"51","alabama,montgomery",1101,0.218606918772257,0.220246170369114,"(0.2,0.3]","(0.2,0.3]"
"52","alabama,morgan",1103,0.21872088207889,0.239634020084895,"(0.2,0.3]","(0.2,0.3]"
"53","alabama,perry",1105,0.278563656147987,0.278563656147987,"(0.2,0.3]","(0.2,0.3]"
"54","alabama,pickens",1107,0.431840796019899,0.431840796019899,"(0.4,0.5]","(0.4,0.5]"
"55","alabama,pike",1109,0.278177734262512,0.371709957956574,"(0.2,0.3]","(0.3,0.4]"
"56","alabama,randolph",1111,0.249476850640858,0.249673031650536,"(0.2,0.3]","(0.2,0.3]"
"57","alabama,russell",1113,0.416754209562686,0.416754209562686,"(0.4,0.5]","(0.4,0.5]"
"58","alabama,st clair",1115,0.270302593112874,0.272504650897908,"(0.2,0.3]","(0.2,0.3]"
"59","alabama,shelby",1117,0.143524317508772,0.155245497756136,"(0.1,0.2]","(0.1,0.2]"
"60","alabama,sumter",1119,0.273910927232904,0.273910927232904,"(0.2,0.3]","(0.2,0.3]"
"61","alabama,talladega",1121,0.201847797855367,0.484230640792549,"(0.2,0.3]","(0.4,0.5]"
"62","alabama,tallapoosa",1123,0.200014165309158,0.488171966853177,"(0.2,0.3]","(0.4,0.5]"
"63","alabama,tuscaloosa",1125,0.171936796652592,0.407067387607711,"(0.1,0.2]","(0.4,0.5]"
