,County Name,County Population,Election Results,county_fips
0,"Autauga County, Alabama","<strong>Total Population:</strong> 55,347<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.40<br>                                                <strong>Change in Diversity: </strong> 1.20X<br>",<strong>Percent Clinton:</strong> 24%<br>                                                      <strong>Percent Trump:</strong> 73%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01001
1,"Baldwin County, Alabama","<strong>Total Population:</strong> 203,709<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.30<br>                                                <strong>Change in Diversity: </strong> 1.22X<br>",<strong>Percent Clinton:</strong> 19%<br>                                                      <strong>Percent Trump:</strong> 77%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01003
2,"Barbour County, Alabama","<strong>Total Population:</strong> 26,489<br>                                                <strong>Majority:</strong> Black or African American (0%)<br>                                                <strong>Diversity Index:</strong> 0.55<br>                                                <strong>Change in Diversity: </strong> 1.05X<br>",<strong>Percent Clinton:</strong> 47%<br>                                                      <strong>Percent Trump:</strong> 52%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01005
3,"Bibb County, Alabama","<strong>Total Population:</strong> 22,583<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.40<br>                                                <strong>Change in Diversity: </strong> 1.15X<br>",<strong>Percent Clinton:</strong> 21%<br>                                                      <strong>Percent Trump:</strong> 77%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01007
4,"Blount County, Alabama","<strong>Total Population:</strong> 57,673<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.23<br>                                                <strong>Change in Diversity: </strong> 1.54X<br>",<strong>Percent Clinton:</strong> 8%<br>                                                      <strong>Percent Trump:</strong> 90%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01009
5,"Bullock County, Alabama","<strong>Total Population:</strong> 10,696<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.45<br>                                                <strong>Change in Diversity: </strong> 1.12X<br>",<strong>Percent Clinton:</strong> 75%<br>                                                      <strong>Percent Trump:</strong> 24%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01011
6,"Butler County, Alabama","<strong>Total Population:</strong> 20,154<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.52<br>                                                <strong>Change in Diversity: </strong> 1.06X<br>",<strong>Percent Clinton:</strong> 43%<br>                                                      <strong>Percent Trump:</strong> 56%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01013
7,"Calhoun County, Alabama","<strong>Total Population:</strong> 115,620<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.42<br>                                                <strong>Change in Diversity: </strong> 1.19X<br>",<strong>Percent Clinton:</strong> 28%<br>                                                      <strong>Percent Trump:</strong> 69%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01015
8,"Chambers County, Alabama","<strong>Total Population:</strong> 34,123<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.52<br>                                                <strong>Change in Diversity: </strong> 1.07X<br>",<strong>Percent Clinton:</strong> 42%<br>                                                      <strong>Percent Trump:</strong> 57%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01017
9,"Cherokee County, Alabama","<strong>Total Population:</strong> 25,859<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.16<br>                                                <strong>Change in Diversity: </strong> 1.16X<br>",<strong>Percent Clinton:</strong> 15%<br>                                                      <strong>Percent Trump:</strong> 84%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01019
