,state,county,congressional district,county_fips,state_name,state_code,Year_id,Year_display-label,GEO_display-label,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Two or More Races,Persons of Color,Total Population,Percentage Persons of Color,Majority-Minority County,Female,Male,DI_2000,DI_2015,DI_ratio
2,01,005,02,01005,Alabama,AL,est72015,"July 1, 2015","Barbour County, Alabama",12340.0,12529.0,63.0,118.0,24.0,1159.0,256.0,14149.0,26489,0.534146249387,minority,12341.0,14148.0,0.524883066983,0.553527507523,1.05457299414
5,01,011,02,01011,Alabama,AL,est72015,"July 1, 2015","Bullock County, Alabama",2386.0,7373.0,28.0,25.0,4.0,763.0,117.0,8310.0,10696,0.776925953628,minority,4839.0,5857.0,0.406803299716,0.453969631457,1.11594382782
23,01,047,07,01047,Alabama,AL,est72015,"July 1, 2015","Dallas County, Alabama",11668.0,28511.0,79.0,171.0,11.0,371.0,320.0,29463.0,41131,0.716321023073,minority,22093.0,19038.0,0.471881908797,0.433705597692,0.919097743751
31,01,063,07,01063,Alabama,AL,est72015,"July 1, 2015","Greene County, Alabama",1522.0,6781.0,15.0,18.0,0.0,84.0,59.0,6957.0,8479,0.8204977002,minority,4455.0,4024.0,0.315441131205,0.323243894348,1.02473603589
32,01,065,07,01065,Alabama,AL,est72015,"July 1, 2015","Hale County, Alabama",6082.0,8652.0,26.0,36.0,1.0,170.0,101.0,8986.0,15068,0.596363153703,minority,7976.0,7092.0,0.490413597679,0.503048268899,1.0257632971
42,01,085,07,01085,Alabama,AL,est72015,"July 1, 2015","Lowndes County, Alabama",2681.0,7521.0,27.0,20.0,4.0,119.0,86.0,7777.0,10458,0.743641231593,minority,5497.0,4961.0,0.394795990644,0.407614570462,1.03246887031
43,01,087,03,01087,Alabama,AL,est72015,"July 1, 2015","Macon County, Alabama",3147.0,15324.0,33.0,61.0,3.0,253.0,284.0,15958.0,19105,0.835278722847,minority,10332.0,8773.0,0.259386393514,0.31452838391,1.21258628739
45,01,091,07,01091,Alabama,AL,est72015,"July 1, 2015","Marengo County, Alabama",9094.0,10141.0,52.0,57.0,8.0,497.0,179.0,10934.0,20028,0.545935690034,minority,10625.0,9403.0,0.511162012296,0.533101865829,1.04292152587
50,01,101,"02, 03, 07",01101,Alabama,AL,est72015,"July 1, 2015","Montgomery County, Alabama",81290.0,127977.0,470.0,6204.0,99.0,7428.0,3051.0,145229.0,226519,0.641133856321,minority,119193.0,107326.0,0.528969448877,0.543848740798,1.02812883041
52,01,105,07,01105,Alabama,AL,est72015,"July 1, 2015","Perry County, Alabama",2936.0,6454.0,20.0,49.0,5.0,131.0,57.0,6716.0,9652,0.695814338997,minority,5130.0,4522.0,0.435327929064,0.453604650743,1.04198380223
